Locations,Total_Transactions_Locationwise,Total_Amount,Quarter,Year,State
changlang district,18631,48891048.26,2,2019,arunachal-pradesh
pakke kessang district,687,1750138.059,2,2019,arunachal-pradesh
dibang valley district,98,214966.6162,2,2019,arunachal-pradesh
west kameng district,37430,122521180.8,2,2019,arunachal-pradesh
shi yomi district,13,65209.39364,2,2019,arunachal-pradesh
east siang district,16494,46549881.24,2,2019,arunachal-pradesh
upper subansiri district,4827,18395806.57,2,2019,arunachal-pradesh
east kameng district,2309,8996397.735,2,2019,arunachal-pradesh
lohit district,18693,48893746.83,2,2019,arunachal-pradesh
lepa rada district,2108,5045595.907,2,2019,arunachal-pradesh
tawang district,15960,55915834.59,2,2019,arunachal-pradesh
namsai district,9637,22491356.66,2,2019,arunachal-pradesh
lower dibang valley district,8405,15177864.64,3,2019,arunachal-pradesh
lower subansiri district,8828,21059967.5,3,2019,arunachal-pradesh
longding district,10269,26620415.02,3,2019,arunachal-pradesh
west siang district,11889,30014806.82,3,2019,arunachal-pradesh
kamle district,677,968784.5134,3,2019,arunachal-pradesh
upper siang district,1419,3927440.442,3,2019,arunachal-pradesh
tirap district,11249,21737827.19,3,2019,arunachal-pradesh
papum pare district,117940,301518075.7,3,2019,arunachal-pradesh
kurung kumey district,1579,3674797.099,3,2019,arunachal-pradesh
anjaw district,4230,9665384.075,3,2019,arunachal-pradesh
siang district,2640,6888800.899,3,2019,arunachal-pradesh
lower siang district,5348,9507511.569,3,2019,arunachal-pradesh
kra daadi district,2187,5520848.186,3,2019,arunachal-pradesh
changlang district,29218,58354823.44,3,2019,arunachal-pradesh
pakke kessang district,977,2145842.293,3,2019,arunachal-pradesh
dibang valley district,202,675909.9963,3,2019,arunachal-pradesh
west kameng district,53939,147186019.9,3,2019,arunachal-pradesh
shi yomi district,27,30367.75471,3,2019,arunachal-pradesh
east siang district,22611,58040119.96,3,2019,arunachal-pradesh
upper subansiri district,7803,22099628.49,3,2019,arunachal-pradesh
east kameng district,3814,10631335.87,3,2019,arunachal-pradesh
lohit district,24505,54539458.21,3,2019,arunachal-pradesh
lepa rada district,2928,4930337.942,3,2019,arunachal-pradesh
tawang district,24097,72221026.28,3,2019,arunachal-pradesh
namsai district,13453,25507641.02,3,2019,arunachal-pradesh
lower dibang valley district,10376,21103089.24,4,2019,arunachal-pradesh
lower subansiri district,11806,29634357.49,4,2019,arunachal-pradesh
longding district,11018,29245021.39,4,2019,arunachal-pradesh
west siang district,14581,39460255.47,4,2019,arunachal-pradesh
kamle district,999,1620922.328,4,2019,arunachal-pradesh
upper siang district,4165,12739585.64,4,2019,arunachal-pradesh
tirap district,16459,38467790.73,4,2019,arunachal-pradesh
papum pare district,143272,378838002.3,4,2019,arunachal-pradesh
kurung kumey district,1343,4526789.749,4,2019,arunachal-pradesh
anjaw district,5417,11887950.53,4,2019,arunachal-pradesh
siang district,4756,8833695.425,4,2019,arunachal-pradesh
lower siang district,6628,11985865.26,4,2019,arunachal-pradesh
kra daadi district,2830,7804936.328,4,2019,arunachal-pradesh
changlang district,33963,71874990.96,4,2019,arunachal-pradesh
pakke kessang district,1194,2287739.012,4,2019,arunachal-pradesh
dibang valley district,267,1240493.027,4,2019,arunachal-pradesh
west kameng district,66740,198205637.5,4,2019,arunachal-pradesh
shi yomi district,232,170772.7268,4,2019,arunachal-pradesh
east siang district,26605,72075285.44,4,2019,arunachal-pradesh
upper subansiri district,9285,28319761.87,4,2019,arunachal-pradesh
east kameng district,5646,19408662.75,4,2019,arunachal-pradesh
lohit district,29281,67502324.59,4,2019,arunachal-pradesh
lepa rada district,4245,8888753.876,4,2019,arunachal-pradesh
tawang district,30077,91949243.61,4,2019,arunachal-pradesh
namsai district,18290,32501252.24,4,2019,arunachal-pradesh
lower dibang valley district,14400,29552510.94,1,2020,arunachal-pradesh
lower subansiri district,15770,34273250.72,1,2020,arunachal-pradesh
longding district,13240,35267439.98,1,2020,arunachal-pradesh
west siang district,19728,47929440.73,1,2020,arunachal-pradesh
kamle district,1434,3418975.826,1,2020,arunachal-pradesh
upper siang district,7055,17820679.65,1,2020,arunachal-pradesh
tirap district,18369,40877851.79,1,2020,arunachal-pradesh
papum pare district,180373,457430754.2,1,2020,arunachal-pradesh
kurung kumey district,2294,5942677.062,1,2020,arunachal-pradesh
anjaw district,5025,12808735.86,1,2020,arunachal-pradesh
siang district,5136,11962344.14,1,2020,arunachal-pradesh
lower siang district,8047,15520255.4,1,2020,arunachal-pradesh
kra daadi district,3407,10045462.8,1,2020,arunachal-pradesh
changlang district,43858,93461363.59,1,2020,arunachal-pradesh
pakke kessang district,2044,3425821.316,1,2020,arunachal-pradesh
dibang valley district,397,878784.5955,1,2020,arunachal-pradesh
west kameng district,75363,198712422.2,1,2020,arunachal-pradesh
shi yomi district,117,566189.9937,1,2020,arunachal-pradesh
east siang district,33743,82011539.43,1,2020,arunachal-pradesh
upper subansiri district,12313,33686711.81,1,2020,arunachal-pradesh
east kameng district,7379,20456070.89,1,2020,arunachal-pradesh
lohit district,36985,83701268.27,1,2020,arunachal-pradesh
lepa rada district,5721,11137993.77,1,2020,arunachal-pradesh
tawang district,31865,84425193.42,1,2020,arunachal-pradesh
namsai district,23112,46444942.96,1,2020,arunachal-pradesh
lower dibang valley district,26234,42360072.53,2,2020,arunachal-pradesh
lower subansiri district,25703,46133123.52,2,2020,arunachal-pradesh
longding district,20664,54678022.5,2,2020,arunachal-pradesh
west siang district,32777,72790231.05,2,2020,arunachal-pradesh
kamle district,2397,4126243.078,2,2020,arunachal-pradesh
upper siang district,10899,28048492.11,2,2020,arunachal-pradesh
tirap district,28830,63497030.84,2,2020,arunachal-pradesh
papum pare district,221728,535085907.3,2,2020,arunachal-pradesh
kurung kumey district,3847,11359743.46,2,2020,arunachal-pradesh
anjaw district,7617,18795023.53,2,2020,arunachal-pradesh
siang district,9827,18585670.47,2,2020,arunachal-pradesh
lower siang district,13321,23571085.32,2,2020,arunachal-pradesh
kra daadi district,5264,15730996.23,2,2020,arunachal-pradesh
changlang district,69279,128572448,2,2020,arunachal-pradesh
pakke kessang district,3558,4635272.064,2,2020,arunachal-pradesh
dibang valley district,966,2559724.837,2,2020,arunachal-pradesh
west kameng district,95421,251395972.2,2,2020,arunachal-pradesh
shi yomi district,302,1222863.436,2,2020,arunachal-pradesh
east siang district,55680,112693868.8,2,2020,arunachal-pradesh
upper subansiri district,18056,43140688.97,2,2020,arunachal-pradesh
east kameng district,11791,40506284.27,2,2020,arunachal-pradesh
lohit district,56541,114730675.5,2,2020,arunachal-pradesh
lepa rada district,8601,16064862.37,2,2020,arunachal-pradesh
tawang district,44499,121561732.2,2,2020,arunachal-pradesh
namsai district,34972,54870798.31,2,2020,arunachal-pradesh
lower dibang valley district,27655,63469161.33,3,2020,arunachal-pradesh
lower subansiri district,26596,59707234.22,3,2020,arunachal-pradesh
longding district,21445,63273209.98,3,2020,arunachal-pradesh
west siang district,34295,92449732.96,3,2020,arunachal-pradesh
kamle district,2618,5300885.933,3,2020,arunachal-pradesh
upper siang district,12707,40210852.99,3,2020,arunachal-pradesh
tirap district,30046,81539831.53,3,2020,arunachal-pradesh
papum pare district,298350,859373863.7,3,2020,arunachal-pradesh
kurung kumey district,4391,13864822.73,3,2020,arunachal-pradesh
anjaw district,9751,31524690.46,3,2020,arunachal-pradesh
siang district,10489,21236201.53,3,2020,arunachal-pradesh
lower siang district,12456,28754627.35,3,2020,arunachal-pradesh
kra daadi district,5676,16181045.61,3,2020,arunachal-pradesh
changlang district,73842,159158438.9,3,2020,arunachal-pradesh
pakke kessang district,3469,6301715.335,3,2020,arunachal-pradesh
dibang valley district,899,3061207.293,3,2020,arunachal-pradesh
west kameng district,111029,332812237.8,3,2020,arunachal-pradesh
shi yomi district,521,3410288.131,3,2020,arunachal-pradesh
east siang district,69710,176323789.9,3,2020,arunachal-pradesh
upper subansiri district,24387,70811197.58,3,2020,arunachal-pradesh
east kameng district,13421,43881134.37,3,2020,arunachal-pradesh
lohit district,65889,156523653.2,3,2020,arunachal-pradesh
lepa rada district,10150,22146313.37,3,2020,arunachal-pradesh
tawang district,56016,182137862.7,3,2020,arunachal-pradesh
namsai district,37019,76484566.53,3,2020,arunachal-pradesh
lower dibang valley district,33455,81929299.57,4,2020,arunachal-pradesh
lower subansiri district,31411,97681186.9,4,2020,arunachal-pradesh
longding district,26089,74890543.92,4,2020,arunachal-pradesh
west siang district,45207,125118193,4,2020,arunachal-pradesh
kamle district,3611,10000596.41,4,2020,arunachal-pradesh
upper siang district,19943,78146755.89,4,2020,arunachal-pradesh
tirap district,36124,104709589.7,4,2020,arunachal-pradesh
papum pare district,390528,1205917754,4,2020,arunachal-pradesh
kurung kumey district,4581,17134470.44,4,2020,arunachal-pradesh
anjaw district,17228,49318880.52,4,2020,arunachal-pradesh
siang district,12962,32619173.24,4,2020,arunachal-pradesh
lower siang district,14782,33891568.65,4,2020,arunachal-pradesh
kra daadi district,7619,30458774.81,4,2020,arunachal-pradesh
changlang district,84852,204367875.1,4,2020,arunachal-pradesh
pakke kessang district,3064,7503555.504,4,2020,arunachal-pradesh
dibang valley district,1705,6749773.196,4,2020,arunachal-pradesh
west kameng district,129575,390436113.7,4,2020,arunachal-pradesh
shi yomi district,1103,6627025.636,4,2020,arunachal-pradesh
east siang district,88632,250515095.2,4,2020,arunachal-pradesh
upper subansiri district,31426,109405900.8,4,2020,arunachal-pradesh
east kameng district,16340,64104581.34,4,2020,arunachal-pradesh
lohit district,80530,196997836.8,4,2020,arunachal-pradesh
lepa rada district,14338,39340491.72,4,2020,arunachal-pradesh
tawang district,67262,240482254.6,4,2020,arunachal-pradesh
namsai district,46762,111916731.5,4,2020,arunachal-pradesh
lower dibang valley district,32427,90709108.52,1,2021,arunachal-pradesh
lower subansiri district,29916,106591163,1,2021,arunachal-pradesh
longding district,23962,75573420.97,1,2021,arunachal-pradesh
west siang district,42575,138700637.3,1,2021,arunachal-pradesh
kamle district,3092,11023767.7,1,2021,arunachal-pradesh
upper siang district,21312,73026286.55,1,2021,arunachal-pradesh
tirap district,32043,110593517.1,1,2021,arunachal-pradesh
papum pare district,419891,1388723427,1,2021,arunachal-pradesh
kurung kumey district,4962,22483754.8,1,2021,arunachal-pradesh
anjaw district,12823,38844865.55,1,2021,arunachal-pradesh
siang district,13679,42644184.41,1,2021,arunachal-pradesh
lower siang district,13231,37929392.8,1,2021,arunachal-pradesh
kra daadi district,6393,24326518.99,1,2021,arunachal-pradesh
changlang district,78849,220167765.5,1,2021,arunachal-pradesh
pakke kessang district,3563,8146941.792,1,2021,arunachal-pradesh
dibang valley district,1930,7949867.974,1,2021,arunachal-pradesh
west kameng district,120906,384735272.8,1,2021,arunachal-pradesh
shi yomi district,1251,6905518.173,1,2021,arunachal-pradesh
east siang district,82357,253988360.8,1,2021,arunachal-pradesh
upper subansiri district,28053,116973014.5,1,2021,arunachal-pradesh
east kameng district,16281,77915774.21,1,2021,arunachal-pradesh
lohit district,72380,198534806.9,1,2021,arunachal-pradesh
lepa rada district,15690,52794992.78,1,2021,arunachal-pradesh
tawang district,54137,207859088.4,1,2021,arunachal-pradesh
namsai district,45753,116637630.7,1,2021,arunachal-pradesh
lower dibang valley district,42091,105552358.1,2,2021,arunachal-pradesh
lower subansiri district,40081,120717472.9,2,2021,arunachal-pradesh
longding district,31640,96566640.53,2,2021,arunachal-pradesh
west siang district,59341,180700138.8,2,2021,arunachal-pradesh
kamle district,5476,17345427.04,2,2021,arunachal-pradesh
upper siang district,25971,89455180.07,2,2021,arunachal-pradesh
tirap district,46320,144548683.3,2,2021,arunachal-pradesh
papum pare district,552953,1501062555,2,2021,arunachal-pradesh
kurung kumey district,6623,27396796.62,2,2021,arunachal-pradesh
anjaw district,15311,43475744.24,2,2021,arunachal-pradesh
siang district,17032,52687221.43,2,2021,arunachal-pradesh
lower siang district,17401,45499278.57,2,2021,arunachal-pradesh
kra daadi district,8758,35998227.6,2,2021,arunachal-pradesh
changlang district,105461,264031910.3,2,2021,arunachal-pradesh
pakke kessang district,4424,13097426.07,2,2021,arunachal-pradesh
dibang valley district,1995,9465919.623,2,2021,arunachal-pradesh
west kameng district,164866,482626617.9,2,2021,arunachal-pradesh
shi yomi district,2135,12166777.19,2,2021,arunachal-pradesh
east siang district,106787,286839106.5,2,2021,arunachal-pradesh
upper subansiri district,35856,131912938.8,2,2021,arunachal-pradesh
east kameng district,22015,95352007.56,2,2021,arunachal-pradesh
lohit district,99686,230495504.2,2,2021,arunachal-pradesh
lepa rada district,21273,71336743.86,2,2021,arunachal-pradesh
tawang district,70061,251025038,2,2021,arunachal-pradesh
namsai district,64781,147069902.4,2,2021,arunachal-pradesh
lower dibang valley district,50270,133788747,3,2021,arunachal-pradesh
lower subansiri district,46105,142674452.2,3,2021,arunachal-pradesh
longding district,32638,100698521,3,2021,arunachal-pradesh
west siang district,65763,217065611.3,3,2021,arunachal-pradesh
kamle district,6064,19140719.48,3,2021,arunachal-pradesh
upper siang district,27960,114285857.1,3,2021,arunachal-pradesh
tirap district,47118,143620525.9,3,2021,arunachal-pradesh
papum pare district,710098,1995999756,3,2021,arunachal-pradesh
kurung kumey district,7417,30935383.38,3,2021,arunachal-pradesh
anjaw district,22621,69876730.15,3,2021,arunachal-pradesh
siang district,17241,58453201.46,3,2021,arunachal-pradesh
lower siang district,19324,46101622.76,3,2021,arunachal-pradesh
kra daadi district,8974,32167939.6,3,2021,arunachal-pradesh
changlang district,120126,319705502.4,3,2021,arunachal-pradesh
pakke kessang district,5061,12416386.84,3,2021,arunachal-pradesh
dibang valley district,2354,13284361.64,3,2021,arunachal-pradesh
west kameng district,209165,658232385.7,3,2021,arunachal-pradesh
shi yomi district,2559,17495021.72,3,2021,arunachal-pradesh
east siang district,128957,368061706.2,3,2021,arunachal-pradesh
upper subansiri district,46434,191353412.4,3,2021,arunachal-pradesh
east kameng district,23739,102442240.3,3,2021,arunachal-pradesh
lohit district,117879,275160751.4,3,2021,arunachal-pradesh
lepa rada district,20756,72378628.45,3,2021,arunachal-pradesh
tawang district,89052,365404078.4,3,2021,arunachal-pradesh
namsai district,79292,177380632.2,3,2021,arunachal-pradesh
lower dibang valley district,65302,174980099.8,4,2021,arunachal-pradesh
lower subansiri district,60146,199366119.1,4,2021,arunachal-pradesh
longding district,37096,125754642.9,4,2021,arunachal-pradesh
west siang district,79050,267978346.9,4,2021,arunachal-pradesh
kamle district,8517,31862943.49,4,2021,arunachal-pradesh
upper siang district,41167,155266317.8,4,2021,arunachal-pradesh
tirap district,52675,172835892.7,4,2021,arunachal-pradesh
papum pare district,919925,2435796597,4,2021,arunachal-pradesh
kurung kumey district,8467,36028643.16,4,2021,arunachal-pradesh
anjaw district,24083,77313027.12,4,2021,arunachal-pradesh
